Country,Approval of China Leadership,Approval of Germany Leadership,Approval of Russia Leadership,Approval of US Leadership,Confidence in Judicial System,Confidence in Military,Corruption in Government,Freedom of Media,Good place for Gay People,Good place for Minorities,Honesty of Elections,Move Away or Stay
Iceland (2024),0.9636303682804138,0.9785162441301568,0.9767143398032144,0.9216862408960242,0.9932163781320066,0.9848796566124258,0.9945295933561287,0.9918985882323161,0.9830028679589896,0.9991547901801656,0.9786075355149961,0.9660223311563965
India (2023),0.9525966219365679,0.9968276643671853,0.9957427124969283,0.9952444180747391,0.9984495722588077,0.9720561773341786,0.999207658939169,0.9930001381748673,0.9826050424621176,0.9886421371637135,0.9970870457838241,0.9983171772531121
Indonesia (2023),0.9554633049090513,0.9703428548223321,0.9751197483836296,0.9893618570429871,0.9903332024404368,0.9965892239671309,0.9996339717887618,0.9989067363873588,0.9180982138313281,0.7562770354263877,0.9871562804701551,0.9845493423031827
Iran (2023),0.9885007763061109,0.9874636369794448,0.9840400567836275,0.9906067904112639,0.9984724309589079,0.9389951227525853,0.0,0.0,0.0,0.0,0.9532165587572679,0.9805274264048154
Iraq (2023),0.9581682381832142,0.9570736955594339,0.9238446146423055,0.9441149398562945,0.9909590932877865,0.9908234759965268,0.9933198927265297,0.9577061422824473,0.0,0.9837316890826856,0.9656755569615318,0.9895699246425033
Ireland (2024),0.9732185909298775,0.9902675726122678,0.9867066595498504,0.9837445438516808,0.9975631286416361,0.9681625159546923,0.991617487836992,0.9757292263788977,0.9698436178482851,0.9870999693458355,0.9984024421270955,0.9872297223865891
Israel (2024),0.9614583759460333,0.9858001536322548,0.9636312187461012,0.971992744260618,0.9890121489051256,0.9969601437384531,0.9973044709733854,0.9908847934680292,0.9798243639624732,0.9914394626040636,0.9688264533240936,0.9831550695426865
Italy (2024),0.9232808288513294,0.9956997407570872,0.9657705083530375,0.9591238395549724,0.9883536330712235,0.986613820128392,0.9978417187945913,0.9855695089504504,0.9748832018184059,0.9937454680631777,0.9472668783095516,0.9973397177530642
Jamaica (2022),0.9854559638905782,0.9988278601496549,0.9813370027279388,0.9714109337831661,0.9892180101605513,0.9962707648808296,0.9983595608895426,0.9679037406161161,0.9547228067954603,0.9962231290721659,0.9960739965734464,0.990258638638968
Japan (2023),0.9887657592705402,0.9699236477607902,0.9804913053596339,0.9835318413348937,0.9934552739720816,0.9675225481355011,0.9963893013838917,0.9680745869040319,0.990791684661661,0.9961068530057373,0.9798960296548934,0.9810855254318928
Jordan (2023),0.9953227302067335,0.9502123928178935,0.9965834857352199,0.9949826908905075,0.9954754555186662,0.9730319223492137,0.9387480616300181,0.9908933369172844,0.0,0.9897823494955548,0.9805965490684138,0.9839296392463495
Kazakhstan (2024),0.9973487511611019,0.9935099432228257,0.9407463132328927,0.9748487094383665,0.9920530895671986,0.996365527562428,0.9977810052179751,0.9951767173793785,0.966048959809361,0.9894160660260024,0.9222259871580419,0.9912781154351685
